Code,P_m (bar),acquisition time (s),assemblage,state,heater voltage (V),T (C),T (K),T error,NaCl_111,NaCl_111_error,NaCl_200,NaCl_200_error,NaCl_220,NaCl_220_error,NaCl_222,NaCl_222_error,NaCl_420,NaCl_420_error,NaCl_422,NaCl_422_error,NaCl_Vm (1e-6 m^3 pfu),NaCl_Vm_error (1e-6 m^3 pfu),P_300 (GPa),P_300_error (GPa),P_tot (GPa),P_tot_error (GPa)
399042,25,60,Hg + NaCl,liquid,73,114,387.15,1,2.8619,0.00321348,3.30246,0.00238971,4.67771,0.00121683,5.72245,0.00228422,7.39219,0.00153858,8.10088,0.00277204,24.858433102948435,0.025476396,2.4288664387341807,0.13619202602258199,,
399071,27,60,Hg,solid,93,155.6,428.75,1,,,,,,,,,,,,,,,,,,
399072,27,60,Hg,solid,94,157.15,430.3,1,,,,,,,,,,,,,,,,,,
399073,27,60,Hg,solid,95,158.95,432.1,1.4,,,,,,,,,,,,,,,,,,
399074,27,60,Hg + NaCl,solid,95,159.6,432.75,1,2.87462,0.00281018,3.32286,0.00135573,4.69916,0.00101389,5.75598,0.00191239,7.43372,0.00218427,8.14048,0.00307246,24.498017780145943,0.027692171,3.005822867464809,0.12166576976670379,,
399075,27,60,Hg,solid,95,160.15,433.3,1,,,,,,,,,,,,,,,,,,
399076,27,60,Hg,solid,96,161.85,435,1,,,,,,,,,,,,,,,,,,
399077,27,60,Hg,solid,96,163.55,436.7,1.1,,,,,,,,,,,,,,,,,,
399078,27,60,Hg,solid,96,164.75,437.9,1,,,,,,,,,,,,,,,,,,
399091,27,1200,Hg,liquid,100,176.4,449.55,1.2,,,,,,,,,,,,,,,,,,
399080,27,60,Hg + NaCl,liquid,98,167.2,440.35,1,2.87792,0.0026298,3.32542,0.001432,4.70236,0.000989064,5.75883,0.00180634,7.43896,0.00213222,8.14394,0.0029847,24.46685918000149,0.026855519,3.086303969775453,0.1179907719781456,,
399085,27,60,Hg,liquid,98,170,443.15,1,,,,,,,,,,,,,,,,,,
399086,27,60,Hg + NaCl,liquid,98,170.4,443.55,1,2.87811,0.00207537,3.32407,0.00215404,4.70312,0.000671787,5.7602,0.00137746,7.43935,0.00166775,8.14648,0.00264493,24.444019193226257,0.023768707,3.0943762457836756,0.1091305817457876,,
399087,27,1200,Hg,liquid,98,170.65,443.8,1.3,,,,,,,,,,,,,,,,,,
399088,27,60,Hg + NaCl,liquid,98,170.9,444.05,1,2.87901,0.00200962,3.32337,0.00210616,4.70439,0.000645959,5.76085,0.00114658,7.44015,0.0016512,8.14869,0.00223083,24.42416976,0.02002566,3.1109607607009675,0.10458114133560932,,
399089,27,60,Hg + NaCl,liquid,100,174.9,448.05,1,2.88043,0.00205052,3.32446,0.00211405,4.70397,0.000646636,5.76168,0.00112973,7.44108,0.00156229,8.14505,0.00271542,24.45687442260987,0.0244193,3.121660370654359,0.10744119240464162,,
399090,27,60,Hg + NaCl,liquid,100,176.1,449.25,1,2.88002,0.00221914,3.32286,0.00188183,4.70429,0.000632842,5.76029,0.001077,7.44055,0.00160711,8.14934,0.00264864,24.418335784347136,0.023768665,3.1150651338373545,0.10707734667590323,,
399070,27,60,Hg,solid,93,155.2,428.35,1,,,,,,,,,,,,,,,,,,
399079,27,60,Hg,liquid,98,166.4,439.55,1,,,,,,,,,,,,,,,,,,
399069,27,60,Hg,solid,93,154.7,427.85,1,,,,,,,,,,,,,,,,,,
399068,27,60,Hg + NaCl,solid,93,154.2,427.35,1,,,,,,,,,,,,,,,,,,
399048,27,60,Hg + NaCl,solid,73,113.5,386.65,1,2.87222,0.00326926,3.31229,0.00215955,4.69063,0.0011067,5.73949,0.00267099,7.41474,0.00217875,8.12517,0.00271626,24.636527705523683,0.024666695,2.7600842074547107,0.14309153055154597,,
399043,27,60,Hg + NaCl,solid,73,114,387.15,1,2.86871,0.00243792,3.31159,0.00181773,4.68921,0.000846011,5.73769,0.00169502,7.41207,0.00140708,8.11912,0.0029102,24.69155039320665,0.026506715,2.702056363035585,0.10985216372088903,,
399067,27,60,Hg,solid,93,153.3,426.45,1,,,,,,,,,,,,,,,,,,
399049,27,240,Hg,solid,73,113.6,386.75,1,,,,,,,,,,,,,,,,,,
399050,27,60,Hg,solid,76,119.9,393.05,1,,,,,,,,,,,,,,,,,,
399051,27,60,Hg,solid,78,122.5,395.65,1,,,,,,,,,,,,,,,,,,
